DATA ZAWARCIA TRANSAKCJI;MIASTO;DZIELNICA;ULICA;RODZAJ RYNKU;CENA NABYCIA;POWIERZCHNIA MIESZKANIA;CENA ZA 1 MKW;POŁOŻENIE NA KONDYGNACJI;OBECNOŚĆ MIEJSCA PARKINGOWEGO;STANDARD;ROK BUDOWY
2018-03-19;Gdynia; Wzgórze Św. Maksymiliana;Wyspiańskiego;RYNEK WTÓRNY;300000;41,74;8514;4;BRAK MP;DOBRY;lata 60-70-te XX-go wieku
2017-05-18;Gdynia; Śródmieście z Portem;Świętojańska;RYNEK WTÓRNY;537000;67,94;9028;2;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2017-05-18;Gdynia; Śródmieście z Portem;Hryniewickiego;RYNEK WTÓRNY;635000;52,75;13255;2;MIEJSCE POSTOJOWE W HALI GARAŻOWEJ;BARDZO DOBRY;2015
2017-05-18;Sopot; Sopot;Niepodległości Al.;RYNEK WTÓRNY;380000;82,65;5664;3;BRAK MP;PRZECIĘTNY;lata 60-70-te XX-go wieku
2017-05-19;Sopot; Sopot;Gen. Fiszera;RYNEK WTÓRNY;860000;75,74;12445;3;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2017-05-19;Gdynia; Działki Leśne;Pomorska;RYNEK WTÓRNY;415000;55,48;8677;1;BRAK MP;DOBRY;lata 50-60-te XX-go wieku
2017-05-19;Sopot; Sopot;Bohaterów Monte Cassino;RYNEK WTÓRNY;456000;55,39;9430;2;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2018-08-08;Gdynia; Wzgórze Św. Maksymiliana;Wyspiańskiego;RYNEK WTÓRNY;300000;41,74;8514;4;BRAK MP;DOBRY;lata 60-70-te XX-go wieku
2017-09-25;Gdynia; Wzgórze Św. Maksymiliana;Wyspiańskiego;RYNEK WTÓRNY;435000;59,57;8472;2;BRAK MP;DOBRY;lata 60-70-te XX-go wieku
2017-05-22;Gdynia; Mały Kack;Leśna;RYNEK WTÓRNY;420000;63,33;7779;1;BRAK MP;DOBRY;2010-2015
2017-05-22;Sopot; Sopot;Parkowa;RYNEK WTÓRNY;525000;64,77;9245;4;BRAK MP;DOBRY;lata 30-te XX-go wieku
2017-05-22;Gdynia; Witomino;Polskiego Czerwonego Krzyża;RYNEK WTÓRNY;295000;59,39;6138;2;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2017-05-22;Gdynia; Cisowa;Chylońska;RYNEK WTÓRNY;255000;66,55;4962;1;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2017-05-22;Gdynia; Kamienna Góra;Marszałka Piłsudskiego Al.;RYNEK WTÓRNY;275000;53,45;6357;3;BRAK MP;PRZECIĘTNY;lata 30-40 te XX-go wieku
2017-05-22;Gdynia; Redłowo;Legionów;RYNEK WTÓRNY;280000;52,34;6570;3;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2017-05-22;Gdynia; Wielki Kack;Gryfa Pomorskiego;RYNEK WTÓRNY;330000;60,61;6608;3;BRAK MP;PRZECIĘTNY;lata 90-te XX-go wieku
2017-05-22;Gdynia; Wielki Kack;Górnicza;RYNEK WTÓRNY;370000;80,54;5667;4;BRAK MP;PRZECIĘTNY;lata 90-te XX-go wieku
2017-05-23;Gdynia; Śródmieście z Portem;Abrahama;RYNEK WTÓRNY;320000;71,15;5607;2;BRAK MP;PRZECIĘTNY;lata 40-50-te XX-go wieku
2017-05-23;Gdynia; Oksywie;Australijska;RYNEK PIERWOTNY;440875;76,07;6885;3;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-05-23;Gdynia; Oksywie;Gen. Karpińskiego;RYNEK PIERWOTNY;297658;52,3;6912;3;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-05-23;Gdynia; Chwarzno-Wiczlino;Sokoła;RYNEK WTÓRNY;486000;68,79;8185;3;BRAK MP;DOBRY;2015
2017-05-23;Gdynia; Mały Kack;Strzelców;RYNEK PIERWOTNY;443097;69,19;7522;4;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-05-23;Gdynia; Śródmieście z Portem; I Armii Wojska Polskiego;RYNEK WTÓRNY;549000;76,09;8304;5;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2017-05-23;Gdynia; Karwiny;Korzenna;RYNEK WTÓRNY;275000;51,55;6561;5;MIEJSCE NAZIEMNE;PRZECIĘTNY;lata 70-80-te XX-go wieku
2017-05-24;Gdynia; Redłowo;Powstania Wielkopolskiego;RYNEK PIERWOTNY;386373;42,03;10516;1;MIEJSCE POSTOJOWE W HALI GARAŻOWEJ;DEWELOPERSKI/DO WYKOŃCZENIA;2010
2017-05-24;Sopot; Sopot;Świemirowska;RYNEK WTÓRNY;465000;63,05;8524;2;BRAK MP;DOBRY;2010
2017-05-24;Gdynia; Wielki Kack;Lipowa;RYNEK WTÓRNY;370000;61,05;7221;2;GARAŻ JEDNOSTANOWISKOWY;DOBRY;lata 90-te XX-go wieku
2017-05-24;Gdynia; Cisowa;Południowa;RYNEK WTÓRNY;222000;52,29;5466;3;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2017-05-24;Gdynia; Karwiny;Kruczkowskiego;RYNEK WTÓRNY;240000;55,65;5508;1;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2017-05-24;Gdynia; Cisowa;Janowska;RYNEK WTÓRNY;267000;72,71;4775;5;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2017-05-24;Sopot; Sopot;Malczewskiego;RYNEK WTÓRNY;395000;67,28;6998;2;BRAK MP;DOBRY;lata 40-50 te XX-go wieku
2017-05-26;Sopot; Sopot;Władysława Łokietka;RYNEK WTÓRNY;738888;54,75;14697;3;BRAK MP;WYSOKI;2015
2017-05-26;Gdynia; Kamienna Góra;Krasickiego;RYNEK WTÓRNY;304000;45,03;8040;7;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2017-05-26;Gdynia; Redłowo;Legionów;RYNEK WTÓRNY;520000;69,15;8638;2;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2017-05-26;Sopot; Sopot;Haffnera;RYNEK WTÓRNY;410000;51,94;9117;3;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2017-05-26;Gdynia; Dąbrowa;Serdecznikowa;RYNEK WTÓRNY;295000;59,25;6150;2;BRAK MP;PRZECIĘTNY;lata 90-te XX-go wieku
2017-05-26;Gdynia; Działki Leśne;Szczecińska;RYNEK WTÓRNY;300000;58,05;6347;5;BRAK MP;PRZECIĘTNY;lata 50-60-te XX-go wieku
2017-05-26;Gdynia; Redłowo;Legionów;RYNEK WTÓRNY;420100;78,05;6464;1;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2017-05-26;Gdynia; Witomino;Uczniowska;RYNEK WTÓRNY;485000;52,92;10380;3;MIEJSCE POSTOJOWE W HALI GARAŻOWEJ;BARDZO DOBRY;2010
2017-04-07;Gdynia; Orłowo;Kasztanowa;RYNEK WTÓRNY;336000;52,05;7678;3;BRAK MP;DOBRY;2010
2017-05-26;Gdynia; Śródmieście z Portem;Świętojańska;RYNEK WTÓRNY;627000;47,33;14512;4;BRAK MP;WYSOKI;lata 40-50-te XX-go wieku
2017-05-29;Gdynia; Pogórze;Manganowa;RYNEK WTÓRNY;250000;80,85;4164;5;BRAK MP;NISKI;lata 80-te XX-go wieku
2017-05-29;Sopot; Sopot;Jana z Kolna;RYNEK WTÓRNY;988000;109,45;10028;3;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2017-05-29;Sopot; Sopot;Grottgera;RYNEK WTÓRNY;407500;51,15;9197;8;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2017-05-29;Sopot; Sopot;Bitwy Pod Płowcami;RYNEK WTÓRNY;570000;81,65;8050;3;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2017-05-29;Gdynia; Leszczynki;Stoigniewa;RYNEK WTÓRNY;320000;59,38;6560;3;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2017-05-29;Sopot; Sopot;Niepodległości Al.;RYNEK WTÓRNY;380000;62,59;7223;3;BRAK MP;DOBRY;lata 60-70-te XX-go wieku
2017-05-30;Gdynia; Oksywie;Australijska;RYNEK PIERWOTNY;305496;53,41;6932;1;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-05-30;Gdynia; Kamienna Góra;Necla;RYNEK WTÓRNY;420000;68,86;7219;2;BRAK MP;DOBRY;lata 30-40 te XX-go wieku
2017-05-30;Sopot; Sopot;Żeromskiego;RYNEK WTÓRNY;300000;41,45;8568;1;BRAK MP;DOBRY;lata 30-te XX-go wieku
2016-11-30;Gdynia; Orłowo;Orłowska;RYNEK WTÓRNY;785000;114,75;7833;2;BRAK MP;DOBRY;2010
2018-06-08;Gdynia; Wzgórze Św. Maksymiliana;Batalionów Chłopskich;RYNEK WTÓRNY;370000;51,15;8464;3;BRAK MP;DOBRY;lata 60-70-te XX-go wieku
2017-05-30;Gdynia; Obłuże;Kampinoska;RYNEK WTÓRNY;164000;46,25;4822;4;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2017-05-30;Gdynia; Cisowa;Botnicka;RYNEK WTÓRNY;235000;46,05;6381;4;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2017-05-30;Gdynia; Pustki Cisowskie;Skarbka;RYNEK WTÓRNY;230000;47,1;6150;2;BRAK MP;PRZECIĘTNY;2010
2017-05-30;Gdynia; Chylonia;Kartuska;RYNEK WTÓRNY;180000;47,55;5048;3;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2017-05-30;Gdynia; Grabówek;Falista;RYNEK WTÓRNY;254000;50,72;6242;3;BRAK MP;PRZECIĘTNY;lata 60-70-te XX-go wieku
2017-05-30;Gdynia; Karwiny;Gojawiczyńskiej;RYNEK WTÓRNY;205000;39,57;6537;3;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2017-05-31;Gdynia; Kamienna Góra;Korzeniowskiego;RYNEK WTÓRNY;940000;92,15;11240;2;BRAK MP;BARDZO DOBRY;lata 30-40 te XX-go wieku
2017-05-31;Gdynia; Orłowo;Spacerowa;RYNEK PIERWOTNY;833239;68,79;13233;1;MIEJSCE POSTOJOWE W HALI GARAŻOWEJ;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-05-31;Gdynia; Chwarzno-Wiczlino;Janki Bryla;RYNEK PIERWOTNY;311219;73,58;5329;2;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-05-31;Gdynia; Chwarzno-Wiczlino;Staniszewskiego;RYNEK WTÓRNY;440000;102,05;5327;4;MIEJSCE POSTOJOWE W HALI GARAŻOWEJ;PRZECIĘTNY;2015
2017-05-31;Gdynia; Mały Kack;Miła;RYNEK WTÓRNY;518000;82,05;7381;3;GARAŻ JEDNOSTANOWISKOWY;DOBRY;2010-2015
2017-05-31;Gdynia; Mały Kack;Strzelców;RYNEK PIERWOTNY;446670;73,92;7140;3;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-05-31;Gdynia; Śródmieście z Portem;Starowiejska;RYNEK WTÓRNY;570000;81,55;8059;4;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2018-04-25;Gdynia; Wzgórze Św. Maksymiliana;Krasickiego;RYNEK WTÓRNY;190000;27,99;8374;2;BRAK MP;DOBRY;lata 60-70-te XX-go wieku
2018-01-10;Gdynia; Wzgórze Św. Maksymiliana;Wojewody Wachowiaka;RYNEK WTÓRNY;355000;49,82;8367;3;BRAK MP;DOBRY;lata 60-70-te XX-go wieku
2017-06-01;Gdynia; Dąbrowa;Miętowa;RYNEK PIERWOTNY;459608;73,92;7315;2;MIEJSCE NAZIEMNE;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-06-01;Gdynia; Oksywie;Australijska;RYNEK PIERWOTNY;519827;91,39;6729;3;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-06-01;Gdynia; Kamienna Góra;Mickiewicza;RYNEK WTÓRNY;685000;87,58;8873;2;BRAK MP;DOBRY;lata 30-40 te XX-go wieku
2017-06-01;Gdynia; Działki Leśne;Śląska;RYNEK WTÓRNY;320000;84,24;4860;6;BRAK MP;PRZECIĘTNY;lata 50-60-te XX-go wieku
2017-06-01;Sopot; Sopot;Kochanowskiego;RYNEK WTÓRNY;739000;115,65;7380;2;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2017-06-02;Sopot; Sopot;Mickiewicza;RYNEK WTÓRNY;1550000;95,55;17252;1;BRAK MP;WYSOKI;lata 60-70-te XX-go wieku
2017-06-02;Sopot; Sopot;Haffnera;RYNEK WTÓRNY;1450000;113,91;13722;3;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2017-06-02;Gdynia; Redłowo;Legionów;RYNEK WTÓRNY;525000;83,9;7320;4;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2017-06-02;Gdynia; Redłowo;Kaczewska;RYNEK WTÓRNY;470000;78,82;7042;3;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2017-06-02;Gdynia; Witomino;Krótka;RYNEK WTÓRNY;399000;83,75;5827;3;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2017-06-02;Gdynia; Obłuże;Boisko;RYNEK WTÓRNY;532500;93,22;6748;5;BRAK MP;PRZECIĘTNY;2015
2017-06-05;Gdynia; Redłowo;Powstania Styczniowego;RYNEK WTÓRNY;873000;88,63;10898;2;BRAK MP;BARDZO DOBRY;2010
2017-06-05;Gdynia; Mały Kack;Parkowa;RYNEK WTÓRNY;690000;96,25;8197;3;BRAK MP;DOBRY;2010-2015
2017-06-05;Gdynia; Działki Leśne;Śląska;RYNEK WTÓRNY;353000;47,35;8720;4;BRAK MP;DOBRY;lata 50-60-te XX-go wieku
2017-06-05;Gdynia; Witomino;Poprzeczna;RYNEK WTÓRNY;580000;95,75;7087;1;GARAŻ JEDNOSTANOWISKOWY;DOBRY;lata 70-80-te XX-go wieku
2017-06-06;Gdynia; Oksywie;Australijska;RYNEK PIERWOTNY;336814;60,71;6710;2;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-06-06;Gdynia; Karwiny;Tuwima;RYNEK WTÓRNY;281000;66,94;5326;5;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2018-04-16;Gdynia; Wzgórze Św. Maksymiliana;Matejki;RYNEK WTÓRNY;295000;41,97;8353;9;BRAK MP;DOBRY;lata 60-70-te XX-go wieku
2017-06-06;Gdynia; Pogórze;Romanowskiego;RYNEK WTÓRNY;250000;66,25;4906;1;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2017-06-06;Gdynia; Obłuże;Płk. Dąbka;RYNEK WTÓRNY;280000;66,75;5324;4;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2017-06-06;Gdynia; Kamienna Góra;Krasickiego;RYNEK WTÓRNY;270000;66,45;5194;3;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2017-06-07;Sopot; Sopot;Haffnera;RYNEK WTÓRNY;750000;65,63;12563;3;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2017-06-07;Gdynia; Redłowo;Powstania Wielkopolskiego;RYNEK WTÓRNY;610000;80,67;8634;1;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2017-06-07;Sopot; Sopot;Chopina;RYNEK WTÓRNY;615000;77,95;8972;3;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2017-06-07;Gdynia; Śródmieście z Portem;Abrahama;RYNEK WTÓRNY;390000;58,82;7804;3;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2017-06-07;Gdynia; Wielki Kack;Szefki;RYNEK WTÓRNY;485000;72,95;7750;2;GARAŻ JEDNOSTANOWISKOWY;DOBRY;2001
2017-06-08;Gdynia; Chwarzno-Wiczlino;Danusi;RYNEK PIERWOTNY;321296;73,87;5447;2;MIEJSCE NAZIEMNE;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-06-08;Gdynia; Chwarzno-Wiczlino;Danusi;RYNEK PIERWOTNY;290741;73,87;5034;1;MIEJSCE NAZIEMNE;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2018-06-07;Gdynia; Wzgórze Św. Maksymiliana;Matejki;RYNEK WTÓRNY;295000;41,97;8353;9;BRAK MP;DOBRY;lata 60-70-te XX-go wieku
2017-06-08;Gdynia; Redłowo;Powstania Wielkopolskiego;RYNEK WTÓRNY;400000;58,8;7977;4;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2017-06-08;Gdynia; Wielki Kack;Szefki;RYNEK WTÓRNY;359000;61,35;7010;4;BRAK MP;DOBRY;lata 90-te XX-go wieku
2017-06-08;Gdynia; Pustki Cisowskie;Chabrowa;RYNEK WTÓRNY;378500;73,9;6219;1;BRAK MP;PRZECIĘTNY;lata 90-te XX-go wieku
2017-06-08;Gdynia; Działki Leśne;Szczecińska;RYNEK WTÓRNY;215000;58,85;4827;1;BRAK MP;PRZECIĘTNY;lata 50-60-te XX-go wieku
2017-06-08;Gdynia; Obłuże;Turkusowa;RYNEK WTÓRNY;345000;58,95;7026;3;BRAK MP;DOBRY;2010
2017-06-09;Gdynia; Mały Kack;Spokojna;RYNEK WTÓRNY;330000;97,25;4420;2;MIEJSCE NAZIEMNE;NISKI;2010-2015
2017-06-12;Gdynia; Redłowo;Powstania Wielkopolskiego;RYNEK WTÓRNY;608000;60,23;11260;1;BRAK MP;BARDZO DOBRY;2010
2017-06-12;Sopot; Sopot;3 Maja;RYNEK WTÓRNY;340000;46,1;8652;3;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2017-06-12;Gdynia; Działki Leśne;Nowogrodzka;RYNEK WTÓRNY;250000;58,01;5489;4;BRAK MP;PRZECIĘTNY;lata 50-60-te XX-go wieku
2017-06-12;Gdynia; Cisowa;Chylońska;RYNEK WTÓRNY;260000;80,62;4298;1;BRAK MP;NISKI;lata 80-te XX-go wieku
2017-06-12;Gdynia; Redłowo;Boh. Starówki Warszawskiej;RYNEK WTÓRNY;206000;45,44;5818;7;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2017-06-12;Sopot; Sopot;Grunwaldzka;RYNEK WTÓRNY;230000;45,25;6369;1;BRAK MP;PRZECIĘTNY;lata 40-50-te XX-go wieku
2017-06-13;Gdynia; Śródmieście z Portem;3 Maja;RYNEK WTÓRNY;385000;73,07;6370;6;BRAK MP;PRZECIĘTNY;lata 40-50-te XX-go wieku
2017-06-13;Gdynia; Leszczynki;Sambora;RYNEK WTÓRNY;463500;73,15;7437;2;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2017-06-13;Sopot; Sopot;Bohaterów Monte Cassino;RYNEK WTÓRNY;540000;59,35;10269;3;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2017-06-13;Sopot; Sopot;Grottgera;RYNEK WTÓRNY;627000;73,05;9684;3;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2017-06-13;Gdynia; Witomino;Krótka;RYNEK WTÓRNY;300000;83,75;4645;1;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2017-06-13;Gdynia; Pogórze;Romanowskiego;RYNEK WTÓRNY;185000;41,39;5801;1;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2017-06-13;Gdynia; Obłuże;Boisko;RYNEK WTÓRNY;418000;66,2;7447;2;BRAK MP;DOBRY;2015
2017-06-13;Gdynia; Pustki Cisowskie;Rydzowa;RYNEK WTÓRNY;205000;63,76;4360;1;BRAK MP;NISKI;lata 80-te XX-go wieku
2017-06-14;Sopot; Sopot;Parkowa;RYNEK WTÓRNY;850000;62,21;14817;1;BRAK MP;WYSOKI;lata 30-te XX-go wieku
2017-06-14;Sopot; Sopot;Okrzei;RYNEK WTÓRNY;700000;59,75;12884;1;BRAK MP;BARDZO DOBRY;lata 60-70-te XX-go wieku
2017-06-14;Sopot; Sopot;Chopina;RYNEK WTÓRNY;825000;80,23;11357;3;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2017-06-14;Gdynia; Orłowo;Bernadowska;RYNEK PIERWOTNY;567593;76,35;8522;2;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-06-14;Gdynia; Śródmieście z Portem;Żwirki I Wigury;RYNEK WTÓRNY;295000;52,79;6805;4;BRAK MP;PRZECIĘTNY;lata 40-50-te XX-go wieku
2017-06-14;Gdynia; Grabówek;Morska;RYNEK WTÓRNY;295000;49,65;7185;5;BRAK MP;DOBRY;lata 60-70-te XX-go wieku
2017-06-14;Sopot; Sopot;Krótka;RYNEK WTÓRNY;520000;72,36;8290;1;BRAK MP;DOBRY;lata 40-50 te XX-go wieku
2017-06-14;Gdynia; Obłuże;Podgórska;RYNEK WTÓRNY;220000;57,25;5027;3;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2017-06-14;Gdynia; Obłuże;Płk. Dąbka;RYNEK WTÓRNY;265000;59,65;5611;8;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2017-06-14;Gdynia; Obłuże;Sucharskiego;RYNEK WTÓRNY;290000;63,75;5694;2;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2017-06-14;Gdynia; Witomino;Polskiego Czerwonego Krzyża;RYNEK WTÓRNY;260000;41,55;7587;6;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2017-06-16;Gdynia; Mały Kack;Strzelców;RYNEK WTÓRNY;605000;101,95;6950;1;BRAK MP;DOBRY;2010-2015
2017-06-16;Gdynia; Obłuże;Płk. Dąbka;RYNEK WTÓRNY;239000;70,26;4515;11;BRAK MP;NISKI;lata 80-te XX-go wieku
2017-06-16;Gdynia; Redłowo;Powstania Śląskiego;RYNEK WTÓRNY;340000;53,95;7510;5;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2017-06-16;Sopot; Sopot;Chodowieckiego;RYNEK WTÓRNY;460000;53,75;9767;1;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2017-06-16;Gdynia; Wielki Kack;Górnicza;RYNEK WTÓRNY;575000;76,85;8568;2;GARAŻ JEDNOSTANOWISKOWY;DOBRY;2001
2018-03-16;Gdynia; Wzgórze Św. Maksymiliana;Orzeszkowej;RYNEK WTÓRNY;285000;40,75;8334;2;BRAK MP;DOBRY;lata 60-70-te XX-go wieku
2017-06-16;Gdynia; Dąbrowa;Lukrecjowa;RYNEK WTÓRNY;335000;62,15;6544;2;BRAK MP;PRZECIĘTNY;lata 90-te XX-go wieku
2017-06-17;Gdynia; Chwarzno-Wiczlino;Staniszewskiego;RYNEK WTÓRNY;350000;51,55;8016;1;BRAK MP;DOBRY;2015
2017-06-19;Gdynia; Dąbrowa;Miętowa;RYNEK PIERWOTNY;450779;66,9;7867;3;MIEJSCE NAZIEMNE;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-06-19;Gdynia; Orłowo;Orłowska;RYNEK PIERWOTNY;773668;64,47;13142;1;MIEJSCE POSTOJOWE W HALI GARAŻOWEJ;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-06-19;Gdynia; Chwarzno-Wiczlino;Niemena;RYNEK WTÓRNY;500000;72,68;7982;4;BRAK MP;DOBRY;2015
2017-06-19;Gdynia; Wielki Kack;Kaczeńcowa;RYNEK WTÓRNY;455000;75,63;7107;2;GARAŻ JEDNOSTANOWISKOWY;DOBRY;lata 90-te XX-go wieku
2017-06-19;Gdynia; Witomino;Strażacka;RYNEK WTÓRNY;265000;57,65;5778;6;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2017-06-19;Gdynia; Grabówek;Lelewela;RYNEK WTÓRNY;276000;49,39;6834;9;BRAK MP;PRZECIĘTNY;lata 60-70-te XX-go wieku
2017-06-19;Gdynia; Dąbrowa;Lukrecjowa;RYNEK WTÓRNY;266000;68,25;5020;2;BRAK MP;PRZECIĘTNY;lata 90-te XX-go wieku
2017-06-19;Gdynia; Śródmieście z Portem;Hryniewickiego;RYNEK WTÓRNY;1150000;96,35;12964;3;MIEJSCE POSTOJOWE W HALI GARAŻOWEJ;BARDZO DOBRY;2015
2017-06-19;Sopot; Sopot;Mazowiecka;RYNEK WTÓRNY;385000;65,85;6981;1;BRAK MP;DOBRY;lata 40-50 te XX-go wieku
2017-06-20;Sopot; Sopot;Pułaskiego;RYNEK WTÓRNY;1030000;73,87;15041;1;BRAK MP;WYSOKI;lata 30-te XX-go wieku
2017-06-20;Gdynia; Redłowo;Powstania Śląskiego;RYNEK WTÓRNY;265000;45,95;7046;3;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2017-06-20;Gdynia; Śródmieście z Portem;Starowiejska;RYNEK WTÓRNY;370000;59,35;7405;2;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2017-06-20;Gdynia; Pogórze;Żeliwna;RYNEK WTÓRNY;305000;65,92;5761;3;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2017-06-21;Gdynia; Oksywie;Gen. Karpińskiego;RYNEK PIERWOTNY;360543;68,48;6386;3;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2017-06-21;Gdynia; Obłuże;Sucharskiego;RYNEK WTÓRNY;255000;75,39;4474;3;BRAK MP;NISKI;lata 80-te XX-go wieku
2018-07-09;Gdynia; Wzgórze Św. Maksymiliana;Gen. Dąbrowskiego;RYNEK WTÓRNY;297000;42,38;8327;2;BRAK MP;DOBRY;lata 60-70-te XX-go wieku
2017-06-21;Sopot; Sopot;Niepodległości Al.;RYNEK WTÓRNY;400000;53,11;8746;3;BRAK MP;DOBRY;lata 60-70-te XX-go wieku
2017-06-21;Sopot; Sopot;Wybickiego;RYNEK WTÓRNY;875000;126;7919;3;BRAK MP;DOBRY;lata 30-te XX-go wieku
2017-06-21;Gdynia; Wielki Kack;Szefki;RYNEK WTÓRNY;540000;89,55;7076;2;BRAK MP;DOBRY;lata 90-te XX-go wieku
2017-06-21;Gdynia; Cisowa;Chylońska;RYNEK WTÓRNY;527000;101,85;6190;1;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2017-06-21;Gdynia; Działki Leśne;Śląska;RYNEK WTÓRNY;295000;64,75;5696;5;BRAK MP;PRZECIĘTNY;lata 50-60-te XX-go wieku
2017-06-21;Gdynia; Grabówek;Komandorska;RYNEK WTÓRNY;216000;51,37;5433;4;BRAK MP;PRZECIĘTNY;lata 60-70-te XX-go wieku
2017-06-21;Gdynia; Karwiny;Baczyńskiego;RYNEK WTÓRNY;355000;65,02;6598;3;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2017-06-21;Gdynia; Śródmieście z Portem;Abrahama;RYNEK WTÓRNY;754630;83,44;10108;4;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;lata 40-50-te XX-go wieku
2017-06-22;Gdynia; Działki Leśne;Warszawska;RYNEK WTÓRNY;255000;39,69;7779;1;BRAK MP;DOBRY;lata 50-60-te XX-go wieku
2017-06-22;Gdynia; Śródmieście z Portem;Starowiejska;RYNEK WTÓRNY;370000;59,35;7405;2;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2017-06-22;Gdynia; Wielki Kack;Lipowa;RYNEK WTÓRNY;350000;60,45;6954;2;MIEJSCE NAZIEMNE;DOBRY;lata 90-te XX-go wieku
